0f30,1102,CommunityLikeXBox // Qanba Q2 Pro
062a,2410,CommunityLikeXBox // Flydigi Apex
1038,1420,CommunityLikeXBox // SteelSeries Nimbus
1038,1418,CommunityLikeXBox // SteelSeries Stratus XL
0111,1431,CommunityLikeXBox // SteelSeries Stratus Duo
0111,1419,CommunityLikeXBox // SteelSeries Stratus XL
0111,1417,CommunityLikeXBox // SteelSeries Stratus XL
0111,1420,CommunityLikeXBox // SteelSeries Nimbus
05ac,022c,CommunityLikeXBox // iPega 910
05ac,022d,CommunityLikeXBox // GameSir G2U
05ac,033d,CommunityLikeXBox // GameSir G3
05ac,055b,CommunityLikeXBox // GameSir G3w
05ac,044d,CommunityLikeXBox // GameSir G4
05ac,061a,CommunityLikeXBox // GameSir T3
8555,061b,CommunityLikeXBox // GameSir G4 Pro
18d1,2c40,CommunityLikeXBox // ADT1
0b05,4500,CommunityLikeXBox // ASUS Gamepad
0a5c,8502,CommunityLikeXBox // idroid:con
6469,6469,CommunityLikeXBox // idroid:con
1080,0009,CommunityLikeXBox // 8BitDo F30 Joystick
2dc8,ab11,CommunityLikeXBox // 8BitDo F30 Joystick
8000,1002,CommunityLikeXBox // 8BitDo F30 Joystick
2dc8,1003,CommunityLikeXBox // 8BitDo N30 Joystick
2dc8,1080,CommunityLikeXBox // 8BitDo N30 Joystick
1235,ab11,CommunityLikeXBox // 8BitDo FC30 Joystick
146b,0c01,CommunityLikeXBox // Nacon GC-400ES	
3285,0607,CommunityLikeXBox // Nacon GC-100
056e,2007,CommunityLikeSwitch // Elecom Wii Adapter
056e,2008,CommunityLikeSwitch // Elecom Wii Adapter
1740,0579,CommunityLikeSwitch // Raphnet Wii Adapter
289b,0010,CommunityLikeSwitch // Raphnet Wii Adapter
289b,0012,CommunityLikeSwitch // Raphnet Wii Adapter
289b,0014,CommunityLikeSwitch // Raphnet Wii Adapter
289b,0016,CommunityLikeSwitch // Raphnet Wii Adapter
289b,0028,CommunityLikeSwitch // Raphnet Wii Adapter
289b,0029,CommunityLikeSwitch // Raphnet Wii Adapter
289b,002b,CommunityLikeSwitch // Raphnet Wii Adapter
289b,002c,CommunityLikeSwitch // Raphnet Wii Adapter
289b,0080,CommunityLikeSwitch // Raphnet Wii Adapter
289b,0081,CommunityLikeSwitch // Raphnet Wii Adapter
0079,1800,CommunityLikeSwitch // Mayflash Wii U Adapter
6957,746f,CommunityLikeSwitch // Wii U Pro
0925,03e8,CommunityLikeSwitch // Mayflash Wii Adapter
057e,0330,CommunityLikeSwitch // Wii U Pro
11ec,a7e1,CommunityLikeSwitch // Switch Handheld
1d79,0301,CommunityLikeSwitch // Wii Adapter
0079,1803,CommunityLikeSwitch // Mayflash Wii DolphinBar
0f0d,0137,CommunityLikeSwitch // Hori Fighting Stick Mini
0f0d,0002,CommunityLikeSwitch // Hori Split Pad Pro
1949,0409,CommunityLikeSwitch // Mobapad Chitu HD
2345,e015,CommunityLikeSwitch // Mobapad Chitu HD
0500,9b28,CommunitySaturn // Sega Saturn Adapter
0ae4,0702,CommunitySaturn // Taito Egret II Mini Controller
0b49,0644,CommunitySaturn // ASCII Seamic
0079,0011,CommunitySaturn // Retrolink Saturn/SNES
1781,057e,CommunitySaturn // Raphnet Saturn Adapter
289b,0005,CommunitySaturn // Raphnet Saturn Adapter
289b,0043,CommunitySaturn // Raphnet Saturn Adapter
05fd,0253,CommunitySaturn // InterAct ProPad
05fd,3000,CommunitySaturn // InterAct GoPad
0079,0122,CommunitySaturn // Retro Bit Saturn
0583,2060,CommunitySaturn // Saturn/SNES
0079,1824,CommunitySaturn // Mayflash MegaDrive
0079,18ae,CommunitySaturn // Mayflash MegaDrive
045e,0003,CommunitySaturn // Microsoft SideWinder
045e,0007,CommunitySaturn // Microsoft SideWinder
045e,000e,CommunitySaturn // Microsoft SideWinder
045e,0026,CommunitySaturn // Microsoft SideWinder
045e,0027,CommunitySaturn // Microsoft SideWinder
